QUERY;URL;DOMAIN;RANK;SPEAKER;SPEAKER QUALITY
"3. ""anonymous posting"" expression";http://contrarian.ca/tag/heather-robertson/;contrarian.ca;1,786,414;blog;Politics
"3. ""anonymous posting"" expression";http://eaves.ca/2012/09/12/why-banning-anonymous-comments-is-bad-for-postmedia-and-bad-for-society/;eaves.ca;2,479,564;blog;Politics
"3. ""anonymous posting"" expression";http://infidel753.blogspot.com/2014/10/failed-experiment.html;infidel753.blogspot.com;13,107,064;blog;Digital media
"3. ""anonymous posting"" expression";http://inforrm.wordpress.com/2013/08/29/anonymous-posters-and-the-new-defamation-act-the-draft-regulations-graham-smith/;inforrm.com;864,58;blog;Digital media
"3. ""anonymous posting"" expression";http://jonathanturley.org/2012/01/15/the-dhs-wants-to-know-whose-spreading-the-news-or-expressing-an-opinion-your-rights-optional/;jonathanturley.org;179,38;blog;Law
"3. ""anonymous posting"" expression";http://luciusonsecurity.blogspot.com/2012/11/sites-that-allow-anonymous-posting-of.html;luciusonsecurity.blogspot.com;4,604,208Ê;blog;Digital rights
"3. ""anonymous posting"" expression";http://privacyguidance.com/blog/anonymous-posting-on-the-internet-privacy-vs-defamation-vs-information-security/;privacyguidance.com;3,770,780;blog;Digital rights
"3. ""anonymous posting"" expression";http://techliberation.com/2013/06/24/the-constructive-way-to-combat-online-hate-speech-thoughts-on-viral-hate-by-foxman-wolf/;techliberation.com;755,83;blog;Technology
"3. ""anonymous posting"" expression";http://thekenyonthrill.com/2014/09/29/kenyon-confession-your-anonymity-is-problematic/;thekenyonthrill.com;575,04;blog;News
"3. ""anonymous posting"" expression";http://www.collegemediamatters.com/2012/12/17/daily-princetonian-debates-decides-to-keep-anonymous-online-comments/;collegemediamatters.com;460,99;blog;Digital media
"3. ""anonymous posting"" expression";http://www.concurringopinions.com/archives/2009/08/skanks-in-new-york-the-first-amendment-and-anonymous-posting-on-the-internet.html;concurringopinions.com;368,76;blog;Law
"3. ""anonymous posting"" expression";http://www.oakpark.com/Community/Blogs/5-17-2011/The-Cowardice-Of-Anonymous-Posting/;oakpark.com;236,35;blog;News
"3. ""anonymous posting"" expression";http://www.orangetrail.com/do-you-want-to-allow-anonymous-posting-on-your-social-media/;orangetrail.com;18,384,196;blog;Technology
"3. ""anonymous posting"" expression";http://www.perlmonks.org/index.pl?node_id=1071689;perlmonks.org;24,43;blog;News
"3. ""anonymous posting"" expression";http://abigailbailey.nmdprojects.net/nmd100/;nmdprojects.net;2,562,081;educational institution;Business
"3. ""anonymous posting"" expression";"http://scholarship.law.duke.edu/cgi/viewcontent.cgi?article=1203&amp;context=dltr";duke.edu;4,27;educational institution;Law
"3. ""anonymous posting"" expression";"http://scholarship.shu.edu/cgi/viewcontent.cgi?article=1179&amp;context=student_scholarship";shu.edu;68,06;educational institution;Law
"3. ""anonymous posting"" expression";http://highlandecho.com/students-react-to-anonymous-social-media-app/;highlandecho.com;8,751,038;educational institution;Education
"3. ""anonymous posting"" expression";http://oxfordindex.oup.com/view/10.1093/oi/authority.20110803095415322;oup.com;10,18;educational institution;Information
"3. ""anonymous posting"" expression";http://resources.infosecinstitute.com/online-defamation-k-cyber-libel-pertains-contemporary-legal-systems/;infosecinstitute.com;29,89;educational institution;Business
"3. ""anonymous posting"" expression";"http://www.tara.tcd.ie/xmlui/bitstream/handle/2262/69853/vogel.pdf?sequence=1&amp;isAllowed=y";tcd.ie;29,18;educational institution;Technology
"3. ""anonymous posting"" expression";http://www.oxfordreference.com/view/10.1093/oi/authority.20110803095415322;oxfordreference.com;67,96;educational institution;Information
"3. ""anonymous posting"" expression";http://www.poynter.org/mediawire/221779/huffington-post-will-end-anonymous-comments/;poynter.org;19,40;educational institution;Digital media
"3. ""anonymous posting"" expression";http://www.prweb.com/releases/2012/1/prweb9083460.htm;prweb.com;3,74;magazine;News
"3. ""anonymous posting"" expression";http://www.socialbusinessnews.com/is-there-a-place-for-anonymous-posting-within-internal-communities/;socialbusinessnews.com;1,690,663Ê;association;News
"3. ""anonymous posting"" expression";http://betanews.com/2008/03/11/anonymous-web-posting-may-become-illegal-in-kentucky/;betanews.com;8,09;magazine;Technology
"3. ""anonymous posting"" expression";http://www.bbc.co.uk/news/magazine-14898564;bbc.co.uk;70,00;magazine;News
"3. ""anonymous posting"" expression";http://www.thedrum.com/news/2013/10/11/european-court-human-rights-rules-it-practical-and-reasonable-hold-website-legally;thedrum.com;15,17;magazine;Digital media
"3. ""anonymous posting"" expression";http://www.wired.co.uk/news/archive/2013-10/14/european-courts-privacy-ruling;wired.co.uk;11,32;magazine;Law and technology
"3. ""anonymous posting"" expression";http://www.almanacnews.com/square/2014/09/19/new-features-for-town-square;almanacnews.com;322,64;magazine;News
"3. ""anonymous posting"" expression";http://www.jhunewsletter.com/2014/10/23/yik-yak-app-provokes-laughs-and-concerns-98165/;jhunewsletter.com;474,79;newspaper;News
"3. ""anonymous posting"" expression";http://hpherald.com/2014/10/01/online-sex-assault-list-sparks-debate-at-u-of-c/;hpherald.com;1,085,921;newspaper;News
"3. ""anonymous posting"" expression";http://newyork.cbslocal.com/2014/03/14/nina-in-new-york-app-which-promises-anonymous-posting-leads-to-mayhem-surprises-no-one/;cbslocal.com;721,00;newspaper;News
"3. ""anonymous posting"" expression";http://pub.berea.edu/pinnacle/2014/10/10/yik-yak-social-media-app-raises-concerns/;berea.edu;159,53;newspaper;News
"3. ""anonymous posting"" expression";http://www.cnn.com/2013/01/29/tech/social-media/social-number-anonymous/;cnn.com;68,00;newspaper;News
"3. ""anonymous posting"" expression";http://www.huffingtonpost.com/2012/05/24/anonymous-comment-ban-legislation-new-york_n_1543033.html;huffingtonpost.com;77,00;newspaper;News
"3. ""anonymous posting"" expression";http://www.nytimes.com/roomfordebate/2013/09/23/facebook-and-narcissism/dont-hate-the-player-hate-the-game;nytimes.com;98,00;newspaper;News
"4. ""anonymous expression"" online";http://advocacy.globalvoicesonline.org/2013/01/01/south-korea-perspectives-on-chinese-new-net-control-laws/;globalvoicesonline.org;38,63;association;Law
"4. ""anonymous expression"" online";http://www.german-african-partnership.org/news/anonymous-political-expression-is-crucial/;german-african-partnership.org;1,883,636;association;Law
"4. ""anonymous expression"" online";http://www.occupy.com/article/why-world-needs-anonymous;occupy.com;305,463Ê;association;Human rights
"4. ""anonymous expression"" online";http://www.vjolt.net/vol3/issue/vol3_art1.html;vjolt.net;3,647,095;association;Law and technology
"4. ""anonymous expression"" online";http://www.bluejersey.com/diary/24870/anonymous-expression-it-helped-to-make-america;bluejersey.com;1,140,241;blog;News
"4. ""anonymous expression"" online";http://ben-grossman.com/okay-to-h8-anonymous-edition-pt-44;ben-grossman.com;1,140,241;blog;Digital media
"4. ""anonymous expression"" online";http://cimethics.blogspot.com/2013/09/the-pros-and-cons-of-online-commenting.html;cimethics.blogspot.com;10,308,966;blog;Law
"4. ""anonymous expression"" online";http://continuations.com/post/100851839340/what-to-do-and-not-about-online-discourse;continuations.com;508,77;blog;Digital media
"4. ""anonymous expression"" online";http://ec2remember.wordpress.com/2010/08/11/anonymous-expressionjohn-doe-lawsuit/;ec2remember.com;-;blog;Information
"4. ""anonymous expression"" online";http://libertymaven.com/2010/02/22/do-you-have-a-right-to-be-anonymous/9034/;libertymaven.com;7,189,069;blog;Human rights
"4. ""anonymous expression"" online";http://malikimtiaz.blogspot.com/2012/06/presumption-of-publication.html;malikimtiaz.blogspot.com;-;blog;Law
"4. ""anonymous expression"" online";http://specktral.wordpress.com/2014/02/24/21-neoliberalism-and-anonymous-love/;specktral.com;23,896,326Ê;blog;Digital rights
"4. ""anonymous expression"" online";http://thenoisychannel.com/2009/08/08/public-expression-liability-and-anonymity;thenoisychannel.com;1,951,647;blog;Technology
"4. ""anonymous expression"" online";http://www.karijournal.com/2013/10/10/delfi-vs-estonia-echr-judgment/;karijournal.com;-;blog;Politics
"4. ""anonymous expression"" online";http://citation.allacademic.com/meta/p_mla_apa_research_citation/5/1/8/8/0/pages/p518807-1.php;allacademic.com;92,27;educational institution;Communication
"4. ""anonymous expression"" online";http://illinoislawreview.org/wp-content/ilr-content/articles/2009/3/Lewis.pdf;illinoislawreview.org;2,959,988;educational institution;Law
"4. ""anonymous expression"" online";http://ncjolt.org/wp-content/uploads/2013/01/14_Riedy_Final.pdf;ncjolt.org;5,537,227;educational institution;Law and technology
"4. ""anonymous expression"" online";http://repository.law.umich.edu/cgi/viewcontent.cgi?article=1085&context=mjlr;umich.edu;1,84;educational institution;Law
"4. ""anonymous expression"" online";http://cippic.ca/online-anonymity-and-doe-lawsuits;cippic.ca;3,474,609Ê;educational institution;Digital rights
"4. ""anonymous expression"" online";http://www.apc.org/en/blog/u-n-special-rapporteur-calls-upon-states-protect-a;apc.org;102,32;association;Human rights
"4. ""anonymous expression"" online";http://www.firstamendmentcenter.org/new-cyberstalking-law-challenged-over-annoy-language;firstamendmentcenter.org;310,49;educational institution;Law
"4. ""anonymous expression"" online";http://www.hrw.org/news/2013/01/04/china-renewed-restrictions-send-online-chill;hrw.org;22,15;association;Human rights
"4. ""anonymous expression"" online";http://www.woroni.com.au/comment/the-anonymous-confessional/;woroni.com.au;2,452,974;educational institution;News
"4. ""anonymous expression"" online";http://www.digitaleyemedia.com/blog/why-online-review-sites-should-not-allow-anonymous-reviews;digitaleyemedia.com;498,21;magazine;Technology
"4. ""anonymous expression"" online";http://www.forbes.com/sites/johnvillasenor/2014/02/07/when-should-the-authors-of-anonymous-online-reviews-be-revealed-yelp-challenges-a-court-unmasking-order/;forbes.com;162,00;magazine;Law and technology
"4. ""anonymous expression"" online";http://www.freerepublic.com/focus/news/3194528/posts;freerepublic.com;8,27;magazine;Law
"4. ""anonymous expression"" online";http://www.lawnow.org/unmasking-bullies-on-the-internet/;lawnow.org;1,902,408;magazine;Law
"4. ""anonymous expression"" online";http://www.mywebtimes.com/opinion/columnists/anonymous-expression-equal-true-freedom/article_14955fa1-8f63-5d5f-b21d-64341c570986.html;mywebtimes.com;240,280Ê;newspaper;News
"4. ""anonymous expression"" online";http://www.nytimes.com/roomfordebate/2014/08/19/the-war-against-online-trolls/anonymity-online-serves-us-all;nytimes.com;98,00;newspaper;News
"4. ""anonymous expression"" online";http://www.usatoday.com/printedition/news/20110222/column22_st.art.htm;usatoday.com;299,00;newspaper;News
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
