ID;query;link;y/n;titolo;google rank;anno-mese;autore ;h-index since 2009;cited by (since 20009);key words;professione;university;uni rank;latitude;longitude;place; pto di vista;orientamento, clusters;attore 1;attore2;attore3;proposals;main label;keywords
40;"Warrantless + ""mass surveillance""";https://comm526surveillanceproject.wordpress.com/2014/04/22/the-evolution-of-u-s-surveillance-law/;y;The Evolution of U.S. Surveillance Law;25;2014-04;ASC Surveillance Project;;;;_;_;;;;_;civil liberties;neutral;FISA;patriot act;;_;privacy vs security;no place to hide, surveillance law, reforms, obama
41;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?article=1027&context=arthur_lefrancois;y;Global Positioning System Technology and the Fourth Amendment;27;2009;Arthur G. LeFrancois;/;/;/;professor;Oklahoma City University;25;35.472989;-97.517054;Oklahoma City;law;surveillance is necessary but;fourth amendment;new surveillance techniques;expectation of privacy;balance between privacy and security;privacy vs security;surveillance techniques, GPS technologies, warrant
42;"Warrantless + ""mass surveillance""";http://www.diva-portal.org/smash/get/diva2:578157/FULLTEXT01.pdf;y;The Chilling Effect of Counter-Terrorism Measures: A Comparative Analysis of Electronic Surveillance Laws in Europe and the USA;29;2012;Elisabet Fura;/;/;/;lawyer;European Court of Human Rights;;48.584614;7.750713;Strasbourg;law;surveillance practicies are illegal;human rights;fourth amendment;expectation of privacy;they should consider also eu laws,  not only us;us vs eu;society changes, prevention, threats, panspectric
43;"Warrantless + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2524653;y;Lawful Illegality: What Snowden Has Taught Us About the Legal Infrastructure of the Surveillance State;33;2014-04;Lisa M. Austin;/;/;/;professor;University of Toronto;24;43.652921;-79.384901;Toronto;law;surveillance is necessary but;snowden disclosures;framework of emergencies;FISA;to create  a lawfull system;american surveillance programmes;legal infrastructure, lawful illegality, rule of law problem, unilateralism
44;"Warrantless + ""mass surveillance""";http://lawdigitalcommons.bc.edu/cgi/viewcontent.cgi?article=3181&context=bclr&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fstart%3D20%26q%3Dwarrantless%252B%2522mass%2Bsurveillance%2522%26hl%3Den%26as_sdt%3D0%2C5%26as_vis%3D1#search=%22warrantless%2Bmass%20surveillance%22;y;Time for the Court to Become Intimate with Surveillance Technology;34;2011;Eli R. Shindelman;/;/;/;lawyer;Boston College Law School;201;42.360482;-71.059568;Boston;law;surveillance is necessary but;fourth amendment;expectation of privacy;US v. Maynard;the gov should have a warrant;american surveillance programmes;US constitution, search and seizures, warrant
45;"Warrantless + ""mass surveillance""";http://illinoisjltp.com/journal/wp-content/uploads/2013/10/Rushin.pdf;y;THE JUDICIAL RESPONS E TO MASS POLICE SURVEILLANCE;38;2011;Stephen Rushin;3;33;Criminal Law, Criminal Procedure, Evidence, Privacy Law, Constitutional Law;professor;Berkeley Law School;3;37.870839;-122.272864;Berkeley;law;against surveillance;fourth amendment;expectation to privacy;;laws have to be revisited;american surveillance programmes;wholesale surveillance, investigative state, mass police
46;"tech giant ""mass surveillance""";http://www.theguardian.com/world/2014/jan/16/nsa-collects-millions-text-messages-daily-untargeted-global-sweep;y;NSA collects millions of text messages daily in 'untargeted' global sweep;5;2014-01;James Ball ;/;/;/;journalist;City University, London;101;51.507322;-0.127647;London;civil liberties;surveillance is necessary but;NSA ;CGHQ uk;William Jefferson Hague (british conservative politician);S spy agencies should pay more consideration to the privacy rights of foreigners;Dishfire;foreign citizens
47;"tech giant ""mass surveillance""";http://heinonline.org/HOL/LandingPage?handle=hein.journals/ggulr42&div=6&id=&page=;y;Reasonable Suspicion Plus: A Framework to Address Chief Judge Alex Kozinski's Concerns of Mass Surveillance without Compromising Police Effectiveness;7;2012-03;Tyler R. Smith;/;/;/;lawyer;Golden Gate University;;37.779277;-122.41927;San Francisco;law;surveillance is necessary but;police;Supreme Court;Fourth Amendment ;new laws and rules;Reasonable Suspicion;surveillance
48;"tech giant ""mass surveillance""";http://books.google.it/books?hl=it&lr=&id=InizrnZlrY8C&oi=fnd&pg=PA193&dq=tech+giant+%22mass+surveillance%22&ots=f14vg_ldrr&sig=CrLiXUd8lQ1wkD5vGpB33zPUbA4&redir_esc=y#v=onepage&q&f=false;y;Electric Eye in the Sky:Some Reflections on the New Surveillance and Popular Culture;10;1996;Gary T. Marx ;/;/;/;professor;Harvard University;1;42.3751;-71.105616;Cambridge, Massachussets;socio-cultural;neutral;new technologies;the public;media;surveillance is neither good nor bad, but context and comportment make it so;changes;threat, opportunitiess, contours
49;"tech giant ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2462321;y;"Race to the Online Mass Surveillance: The End of Privacy and Open Internet?
";11;2014-07;"Rezaul Karim 
";/;/;/;student;University of Birmingham;101;52.481368;-1.898073;Birmingham;law;surveillance practicies are illegal;five eyes;internet users;cyberspace;to review the cloud system;privacy in the cyberspace;intensive, stifling, freedom, privacy, fail
50;"tech giant ""mass surveillance""";http://works.bepress.com/kmichael/342/;y;"Warranted and Warrantless Tracking in Australia by Law Enforcement Agencies: Mass Surveillance, PRISM and the NSA Scandal
";12;2013-06;"Katina Michael
";17;1164;Emerging Technologies, Location-Based Services, Automatic Identification, Wearable Computing, Body-Worn Video;professor;University of Wollongong;301;-34.424394;150.89385;Wollongong;civil liberties;against surveillance;internet users;companies;NSA;a blatant breach of privacy in the name of national security;privacy in the cyberspace;privacy, security,PRISM
51;"tech giant ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2443604;y;"Privacy and Security in the Cloud: Some Realism About Technical Solutions to Transnational Surveillance in the Post-Snowden Era
";14;2014-09;Ira Rubinstein ;/;/;/;researcher;New York University;27;40.730599;-73.986581;New York;technical;surveillance is necessary but;cloud;Privacy Enhancing Technologies;NSA;analyze technologies for protect online privacy;privacy in the cyberspace;PET, transnational surveillance, protection
52;"tech giant ""mass surveillance""";http://www.law.msu.edu/king/2013-2014/Rucker.pdf;y;Starting Over: Mass Surveillance and a Factual Approach to the Fourth Amendment;15;2014;Emily Rucker;/;/;/;professor;Michigan State University ;195;42.735542;-84.485247;East Lansing, Michigan;law;surveillance practicies are illegal;Americans;Fourth Amendmenth;Third Party doctrine;laws have to be revisited;privacy in the cyberspace;expectation, NSA
53;"tech giant ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2468060;y;The Balance between Freedom and Security in the Age of Surveillance: A Brief Analysis of the Recent Intelligent Electronic Surveillance Scandals;19;2014-04;"Renato Leite Monteiro 
";/;/;/;professor;National University of Singapore;101;1.290453;103.852038;Singapore;right to privacy;;citizens;governaments;industry;find internationally agreed tech-solutions;Freedom vs Security;reforms, violated, freedom of speech, privacy, limitation
54;"tech giant ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2524653;y;Lawful Illegality: What Snowden Has Taught Us About the Legal Infrastructure of the Surveillance State;22;2014-04;Lisa M. Austin;/;/;/;professor;University of Toronto ;24;43.652921;-79.384901;Toronto;law;surveillance is necessary but;snowden disclosures;framework of emergencies;FISA;to create  a lawfull system;american surveillance programmes;"""lawful illegality"", rule of law, better system, oversight"
55;"tech giant ""mass surveillance""";http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6387965;y;"Privacy - The times they are a-changin' [Introduction] - published in ""Technology and Society Magazine"", IEEEÊÊ(Volume:31 ,ÊÊIssue: 4Ê)";23;2012;"Katina Michael
";17;1164;Emerging Technologies, Location-Based Services, Automatic Identification, Wearable Computing, Body-Worn Video;professor;University of Wollongong;301;-34.424394;150.89385;Wollongong;civil liberties;surveillance is necessary but;governament;citizens;Internet companies;new rules for new idea of privacy;privacy in online world;"“always on” surveillance, data retention, trust, indifference, liability, sharing
knowledge, Big Data, global community"
56;"tech giant ""mass surveillance""";http://bds.sagepub.com/content/1/2/2053951714541861.short;y;Surveillance, Snowden, and Big Data: Capacities, consequences, critique;29;2014;David Lyon;/;/;/;professor;Queen's University;187;17.971215;-76.792813;Kingston;socio-cultural;against surveillance;NSA;Internet companies;citizens;Mass surveillance make a large use of Big Data;Big Data tecniques and Society;surveillance, Big Data, Snowden, control, fear
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
