id;source title;s date;source;target title;target;date
213;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"‘Making History: The Compromised 9-11
Commission";Sacks B;2008
214;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Over het terrorisme en de staat;Sanguinetti G;1982
215;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Dirty Wars. The World is a Battlefield;Scahill J;2013
216;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Realism and the Left: the case of Hans J.
Morgenthau";Scheuerman W E;2008
217;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Die Diktatur. Von den Anfängen des modernen
Souveränitätsgedankens bis zum proletarischen Klassenkampf";Schmitt C;2006
218;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;‘The Sociology of Imperialisms;Schumpeter J A;1919
219;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Friendly Spies. How America’s Allies are Using Economic
Espionage to Steal our Secrets";Schweizer P;1993
222;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;9/11. Synthetic Terror Made in USA;Tarpley W G;2008
223;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"‘Decisions and Indecisions. Political and Intellectual
Receptions of Carl Schmitt";Teschke Benno;2011
224;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"‘Democratic State vs. Deep State. Approaching the Dual State
of the West";Tunander, Ola;2009
225;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;The End of the Revolution. China and the Limits of Modernity;Wang Hui;2009
226;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl; An Appraisal of Technologies of Political Control;Wright S;1998
227;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;American Military Strategy. Memos to a President;Zelikow P D;2001
161;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Spy Games: Inside the Convoluted Plot to Bring Down WikiLeaks;Anderson N;2011-02
162;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Debate Rages Over Legality of NSA Wiretap Program;Angle J, Herridge C;2005
167;4. The Afterlife of Total Information Awareness;2013;Newton Lee;The NSA Is Building the Country’s Biggest Spy Center (Watch What You Say);Bamford J;2012-03
165;4. The Afterlife of Total Information Awareness;2013;Newton Lee;"War of Secrets; Eyes in the Sky, Ears to the Wall, and Still Wanting";Bamford J;2002
147;4. The Afterlife of Total Information Awareness;2013;Newton Lee;NSA has massive database of Americans’ phone calls;Cauley L;2006
164;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Inside the plot to devastate New York;Cruickshank P;2012-03
166;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Federal partners break ground on $1.5 billion center;Draughn K;2011-02
154;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Middle East futures market returns. Private firm will restart Pentagon project, but without contracts for violence;Gongloff M;2004
159;4. The Afterlife of Total Information Awareness;2013;Newton Lee;How Team of Geeks Cracked Spy Trade;Gorman Siobhan ;2009
146;4. The Afterlife of Total Information Awareness;2013;Newton Lee;NSA’s Domestic Spying Grows As Agency Sweeps Up Data;Gorman Siobhan ;2008
158;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Big Data is a Big Deal;Kalil T;2012-03
156;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Information Aggregation Mechanisms: Concept, Design and Implementation for a Sales Forecasting Problem;Kay-Yut C, Plott C R;2002
149;4. The Afterlife of Total Information Awareness;2013;Newton Lee;NSA Whistleblower Details How The NSA Has Spied On US Citizens Since 9/11;Kelley Michael;2012
153;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Senate Approves Bill to Broaden Wiretap Powers.  The New York Times;Lichtblau E;2008
163;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Microsoft and NYPD Announce Partnership Providing Real-Time Counterterrorism Solution Globally;McDuffie M;2012-08
148;4. The Afterlife of Total Information Awareness;2013;Newton Lee;The Ultimate Net Monitoring Tool;Poe R;2006
150;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Bush Lets U.S. Spy on Callers Without Courts;Risen J, Lichtblau E;2005
152;4. The Afterlife of Total Information Awareness;2013;Newton Lee;White House Begins New Effort to Defend Surveillance Program. The New York Times;Sanger D;2006
155;4. The Afterlife of Total Information Awareness;2013;Newton Lee;"2003: THE 3rd ANNUAL YEAR IN IDEAS; Futures Markets in Everything";Scheiber N;2003
168;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Giving Into the Surveillance State;Shane H;2012-08
151;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Fertiliser bomb plot: The story BBC News;Summers C, Casciani D;2007
160;4. The Afterlife of Total Information Awareness;2013;Newton Lee;Palantir, the War on Terror’s Secret Weapon;Vance A, Stone B;2011-11
157;4. The Afterlife of Total Information Awareness;2013;Newton Lee;The Spymaster. Can Mike McConnell fix America’s intelligence community?;Wright L;2008
690;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;No Expectation of Privacy;Adler J;2011-07
693;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;"United States v.
Pineda-Moreno: Tracking Down Individuals’ Reasonable Expectation of Privacy in the Information Age";Emmett C;2011
691;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;"Protect Our
Right to Anonymity";Rosen J;2011-09
692;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;"Hiding in Plain Sight: Protection from GPS Technology Requires Congressional Action,
Not a Stretch of the Fourth Amendment";Smith Kimberly C;2011
695;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;;States v. Maynard;2010
694;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;2011-11;Daniel J. Cohn;;United States v. Pineda-Moreno;2010
551;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Amnesty Int’l USA v. Clapper;2011
571;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Fact: The NSA Gets Negligible Intel from Americans’ Metadata. So End Collection;Benkler Y;2013-10
543;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Bernstein v. United States Dep’t of Justice;1999
529;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;What Snowden and Manning Don’t Understand About Secrecy;Bowden M;2013-08
572;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Brinegar v. United States;1949
564;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;California v. Greenwood;1988
540;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;City of Indianapolis v. Edmond;2000
568;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;No Reason to Believe: Radical Skepticism, Emergency Power, and Constitutional Constraint;Cole D;2008
531;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Edward Snowden’s Girlfriend Is a Pole-Dancing Acrobat With a Dramatic Blog;Coscarelli J;2013-06
535;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;The Whistle-Blower’s Quandry;Dungan J, Young L;2013-08
534;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Whistleblower, Leaker, Traitor, Spy;Eyal Press;2013-08
528;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Edward Snowden comes forward as source of NSA leaks;Gellman B;2013-06
547;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Private Crypto Key in Mission-Critical Hardware Menaces Electric Grids;Goodin D;2012-08
545;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Stop Using NSA-Influenced Code in Our Products;Goodin D;2013-09
548;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Intelligence Chiefs: Shutdown Threatening National Security;Gorman Siobhan ;2013-10
537;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Surveillance Myth #1: I Have Nothing to Hide;Granick J;2006-05
546;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;What Level of Protection for Internet Speech?;Greenhouse L;1997
525;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Edward Snowden: the whistleblower behind the NSA surveillance revalations;Greenwald G;2013-06
530;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Leaker’s Security Check Faulted;Kendall B, Nissenbaum D;2013-08
569;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;An Equilibrium-Adjustment Theory of the Fourth Amendment;Kerr O S;2011
553;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;The Fourth Amendment and New Technologies: Constitutional Myths and the Case for Caution;Kerr O S;2003
563;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Kyllo v. United States;2001
555;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Code and Other Laws of Cyberspace;Lessig L;1999
554;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;"The Electronic Eye: The Rise of
Surveillance Society";Lyon D;1994
566;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Terrorizing Rhetoric: The Advancement of U.S. Hegemony Through the Lack of a Definition of ‘Terror';Marcopoulos A J;2009-01
539;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;The NSA is losing the benefit of the doubt;Marcus R;2013-08
557;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Maryland v. King;1970
536;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;NSA surveillance program violates the constitution;McVeigh K;2013-08
544;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Dear NSA, Thanks for Making Us All Insecure;Meyer D;2013-09
527;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Surveillance in America: Over to the dark side;MG;2013-06
532;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Bradley Manning’s sentence and the zealous national-security state;Milbank D;2013-08
533;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;The price Gina Gray paid for whistleblowing;Milbank D;2013-08
570;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;People v. Weaver;2009
561;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Schmerber v. California;1966
526;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Ex-Worker at C.I.A. Says He Leaked Data on Surveillance;Schmidt M S;2013-06
541;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Skinner v. Railway Labor Executives Ass’n;1989
550;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Smith v. Maryland;1979
556;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Access and Aggregation: Privacy, Public Records, and the Constitution;Solove D;2002
562;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;UNDERSTANDING PRIVACY ;Solove D;2008
565;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Everyman’s Fourth Amendment: Privacy or Mutual Trust Between Government and Citizen?;Sundby S E;1994
538;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;U.S. spy agency edges into the light after Snowden revelations;Tabassum Z;2013-08
560;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;Terry v. Ohio;1968
542;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Privacy, Cryptography and Free Research;Unger S H;1977
558;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;United States v. Jacobsen;1984
549;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;United States v. Jones;2012
559;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;United States v. Knights;2001
552;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;;United States v. Swindle;2005
567;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;2014-02;Jeffrey L. Vagle;Safety and Security;Waldron J;2006
738;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;"Perspectives on
the Fourth Amendment";Amsterdam A G ;1974
740;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;California v. Greenwood;1988
735;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;"Couch
v. United States";1973
727;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;"Global Positioning
System Overview";Dana P H;2009
739;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;"Informers
Revisited: Government Surveillance of Domestic
Political Organizations and the Fourth and
First Amendments";Donovan D A ;1984
728;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;"Police Turn to Secret Weapon:
GPS Device";Hubbard B;2008-08
730;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;Katz v. United States;1967
726;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;The Fourth Amendment and New Technologies: Constitutional Myths and the Case for Caution;Kerr O S;2004
741;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;Ponce v. Craven;1969
731;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;Rakas v. Illinois;1978
736;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;"Privacy at
Risk: The New Government Surveillance
and the Fourth Amendment";Slobogin C;2007
733;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;Smith v. Maryland;1979
744;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;State v. Jackson;2003
742;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. Bailey;1980
737;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. Garcia;2007
729;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. Jacobsen;1984
734;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. Miller;1976
743;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. Moore;1977
732;Global Positioning System Technology and the Fourth Amendment;2009;Arthur G. LeFrancois;;United States v. White;1971
700;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;2012;James Mariani;;Dow Chemical Co. v. United States;1986
701;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;2012;James Mariani;Can the Police Now Use Thermal Imaging Devices Without a Warrant? A Reexamination of Kyllo in Light of the Widespread Use of Infrared Temperature Sensors;Kerr O S;2010-01
712;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;2012;James Mariani;Your Cellphone is a Homing Device;Koerner B;2003
697;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;2012;James Mariani;;Kyllo v. United States;2001
710;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;2012;James Mariani;Court Asks if ‘Big Brother’ is Spelled GPS?;Liptak A;2011-09
