genre;year;episodes
action;1984;0
adventure;1984;0
comedy;1984;0
crime;1984;0
drama;1984;0
fantasy;1984;0
horror;1984;0
mystery;1984;0
sci-fi;1984;0
thriller;1984;0
action;1983;0
adventure;1983;0
comedy;1983;0
crime;1983;0
drama;1983;0
fantasy;1983;0
horror;1983;0
mystery;1983;0
sci-fi;1983;0
thriller;1983;0
action;1982;0
adventure;1982;0
comedy;1982;0
crime;1982;0
drama;1982;0
fantasy;1982;0
horror;1982;0
mystery;1982;0
sci-fi;1982;0
thriller;1982;0
action;1981;0
adventure;1981;0
comedy;1981;0
crime;1981;0
drama;1981;0
fantasy;1981;0
horror;1981;0
mystery;1981;0
sci-fi;1981;0
thriller;1981;0
action;1980;0
adventure;1980;0
comedy;1980;0
crime;1980;0
drama;1980;0
fantasy;1980;0
horror;1980;0
mystery;1980;0
sci-fi;1980;0
thriller;1980;0
action;1979;0
adventure;1979;0
comedy;1979;0
crime;1979;0
drama;1979;0
fantasy;1979;0
horror;1979;0
mystery;1979;0
sci-fi;1979;0
thriller;1979;0
action;1978;0
adventure;1978;0
comedy;1978;0
crime;1978;0
drama;1978;0
fantasy;1978;0
horror;1978;0
mystery;1978;0
sci-fi;1978;0
thriller;1978;0
action;1977;1
adventure;1977;1
comedy;1977;0
crime;1977;0
drama;1977;0
fantasy;1977;0
horror;1977;0
mystery;1977;0
sci-fi;1977;0
thriller;1977;0
action;1976;0
adventure;1976;0
comedy;1976;0
crime;1976;0
drama;1976;0
fantasy;1976;0
horror;1976;0
mystery;1976;0
sci-fi;1976;0
thriller;1976;0
action;1975;0
adventure;1975;0
comedy;1975;0
crime;1975;0
drama;1975;0
fantasy;1975;0
horror;1975;0
mystery;1975;0
sci-fi;1975;0
thriller;1975;0
action;1974;0
adventure;1974;0
comedy;1974;0
crime;1974;0
drama;1974;0
fantasy;1974;0
horror;1974;0
mystery;1974;0
sci-fi;1974;0
thriller;1974;0
action;1973;0
adventure;1973;0
comedy;1973;0
crime;1973;0
drama;1973;0
fantasy;1973;0
horror;1973;0
mystery;1973;0
sci-fi;1973;0
thriller;1973;0
action;1972;0
adventure;1972;0
comedy;1972;0
crime;1972;0
drama;1972;0
fantasy;1972;0
horror;1972;0
mystery;1972;0
sci-fi;1972;0
thriller;1972;0
action;1971;0
adventure;1971;0
comedy;1971;0
crime;1971;0
drama;1971;0
fantasy;1971;0
horror;1971;0
mystery;1971;0
sci-fi;1971;0
thriller;1971;0
action;1970;0
adventure;1970;0
comedy;1970;0
crime;1970;0
drama;1970;0
fantasy;1970;0
horror;1970;0
mystery;1970;0
sci-fi;1970;0
thriller;1970;0
action;1969;0
adventure;1969;0
comedy;1969;0
crime;1969;0
drama;1969;0
fantasy;1969;0
horror;1969;0
mystery;1969;0
sci-fi;1969;0
thriller;1969;0
action;1968;0
adventure;1968;0
comedy;1968;0
crime;1968;0
drama;1968;1
fantasy;1968;0
horror;1968;0
mystery;1968;0
sci-fi;1968;1
thriller;1968;1
